calc_time,funding_interval_hours,last_funding_rate
1583020800000,8,0.00040267
1583049600000,8,0.00010000
1583078400001,8,0.00010000
1583107200000,8,0.00010000
1583136000000,8,0.00010000
1583164800004,8,0.00010000
1583193600000,8,0.00010000
1583222400003,8,0.00010000
1583251200000,8,0.00010000
1583280000002,8,0.00010000
1583308800000,8,0.00010000
1583337600001,8,0.00010000
1583366400000,8,0.00010000
1583395200000,8,0.00010000
1583424000000,8,0.00010000
1583452800003,8,0.00010000
1583481600000,8,0.00010000
1583510400000,8,0.00010000
1583539200000,8,0.00010000
1583568000001,8,0.00010000
1583596800000,8,0.00017750
1583625600001,8,0.00010000
1583654400000,8,0.00010000
1583683200006,8,0.00010000
1583712000000,8,0.00010000
1583740800000,8,0.00010000
1583769600000,8,0.00010000
1583798400000,8,0.00010000
1583827200000,8,0.00010000
1583856000000,8,0.00010000
1583884800001,8,0.00010000
1583913600000,8,0.00010000
1583942400000,8,0.00010000
1583971200001,8,0.00010000
1584000000001,8,0.00010000
1584028800000,8,-0.00102229
1584057600000,8,-0.00037792
1584086400000,8,-0.00257234
1584115200002,8,-0.00116014
1584144000000,8,-0.00048808
1584172800001,8,-0.00001942
1584201600000,8,0.00010000
1584230400000,8,0.00010000
1584259200000,8,0.00010000
1584288000001,8,-0.00098358
1584316800000,8,-0.00000671
1584345600000,8,0.00010000
1584374400001,8,4.3E-7
1584403200000,8,0.00009979
1584432000000,8,0.00010000
1584460800000,8,0.00010000
1584489600000,8,0.00010000
1584518400000,8,0.00006775
1584547200000,8,0.00010000
1584576000000,8,0.00010000
1584604800000,8,0.00010000
1584633600000,8,0.00010000
1584662400000,8,0.00010000
1584691200000,8,0.00010000
1584720000000,8,0.00010000
1584748800000,8,0.00010000
1584777600000,8,-0.00010411
1584806400000,8,0.00010000
1584835200000,8,0.00010000
1584864000001,8,0.00010000
1584892800000,8,0.00010000
1584921600000,8,0.00010000
1584950400000,8,0.00010000
1584979200000,8,0.00010000
1585008000000,8,0.00010000
1585036800000,8,0.00010000
1585065600000,8,0.00010000
1585094400000,8,0.00010000
1585123200000,8,0.00010000
1585152000001,8,0.00010000
1585180800006,8,0.00000687
1585209600002,8,0.00010000
1585238400000,8,-0.00007444
1585267200000,8,0.00010000
1585296000000,8,0.00010000
1585324800000,8,0.00010000
1585353600000,8,0.00010000
1585382400000,8,0.00010000
1585411200000,8,0.00010000
1585440000000,8,0.00010000
1585468800001,8,-0.00028366
1585497600000,8,0.00010000
1585526400000,8,0.00010000
1585555200000,8,0.00010000
1585584000000,8,0.00010000
1585612800000,8,-0.00063509
1585641600001,8,0.00005448
1585670400001,8,0.00010000
