calc_time,funding_interval_hours,last_funding_rate
1704067200000,8,0.00046903
1704096000000,8,0.00038432
1704124800000,8,0.00058695
1704153600000,8,0.00084973
1704182400000,8,0.00069976
1704211200000,8,0.00084192
1704240000000,8,0.00044017
1704268800000,8,0.00036073
1704297600000,8,0.00010000
1704326400000,8,0.00010000
1704355200000,8,0.00010000
1704384000000,8,0.00010000
1704412800001,8,0.00010000
1704441600000,8,0.00010000
1704470400000,8,0.00010000
1704499200000,8,0.00010000
1704528000000,8,0.00010000
1704556800000,8,0.00010000
1704585600000,8,0.00010000
1704614400001,8,0.00010000
1704643200001,8,0.00010000
1704672000000,8,0.00010000
1704700800000,8,0.00010000
1704729600000,8,0.00010000
1704758400001,8,0.00010000
1704787200000,8,0.00010000
1704816000000,8,0.00010000
1704844800000,8,0.00010000
1704873600000,8,0.00010000
1704902400000,8,0.00010000
1704931200000,8,0.00010000
1704960000000,8,0.00010000
1704988800000,8,0.00010000
1705017600001,8,0.00010000
1705046400000,8,0.00010000
1705075200000,8,0.00010000
1705104000000,8,0.00010000
1705132800000,8,0.00010000
1705161600001,8,0.00010000
1705190400000,8,0.00010000
1705219200000,8,0.00010000
1705248000001,8,0.00010000
1705276800000,8,0.00010000
1705305600000,8,0.00010000
1705334400000,8,0.00010000
1705363200000,8,0.00010000
1705392000000,8,0.00010000
1705420800001,8,0.00010000
1705449600000,8,0.00010000
1705478400000,8,0.00010000
1705507200000,8,0.00010000
1705536000001,8,0.00010000
1705564800000,8,0.00010000
1705593600000,8,0.00010000
1705622400000,8,0.00010000
1705651200000,8,0.00010000
1705680000002,8,0.00010000
1705708800000,8,0.00010000
1705737600003,8,0.00010000
1705766400000,8,0.00010000
1705795200000,8,0.00010000
1705824000000,8,0.00010000
1705852800000,8,0.00010000
1705881600000,8,0.00010000
1705910400000,8,0.00010000
1705939200000,8,0.00010000
1705968000000,8,0.00010000
1705996800000,8,0.00010000
1706025600000,8,0.00002445
1706054400000,8,0.00004017
1706083200000,8,0.00010000
1706112000000,8,0.00009564
1706140800000,8,0.00010000
1706169600001,8,0.00010000
1706198400000,8,0.00010000
1706227200001,8,0.00010000
1706256000000,8,0.00010000
1706284800000,8,-0.00002125
1706313600000,8,0.00010000
1706342400000,8,-0.00009415
1706371200000,8,-0.00014842
1706400000000,8,-0.00002594
1706428800000,8,0.00001713
1706457600000,8,0.00010000
1706486400000,8,0.00007606
1706515200001,8,0.00010000
1706544000000,8,0.00010000
1706572800000,8,0.00010000
1706601600000,8,0.00009998
1706630400001,8,0.00007299
1706659200000,8,0.00010000
1706688000000,8,0.00010000
1706716800000,8,0.00010000
