calc_time,funding_interval_hours,last_funding_rate
1577836800000,8,-0.00012359
1577865600000,8,-0.00012383
1577894400000,8,-0.00009664
1577923200002,8,0.00003662
1577952000000,8,0.00010000
1577980800000,8,0.00000104
1578009600000,8,-0.00001664
1578038400000,8,-0.00001553
1578067200001,8,0.00010000
1578096000000,8,0.00010000
1578124800000,8,8.4E-7
1578153600000,8,0.00007387
1578182400000,8,0.00010000
1578211200000,8,0.00010000
1578240000000,8,0.00010000
1578268800000,8,0.00010000
1578297600000,8,0.00010000
1578326400000,8,0.00010000
1578355200000,8,0.00010000
1578384000001,8,0.00010000
1578412800000,8,0.00010000
1578441600000,8,0.00012514
1578470400000,8,0.00010000
1578499200001,8,0.00010000
1578528000000,8,0.00010000
1578556800000,8,0.00010000
1578585600000,8,0.00010000
1578614400000,8,0.00010000
1578643200000,8,0.00010000
1578672000000,8,0.00010000
1578700800000,8,0.00010000
1578729600000,8,0.00017846
1578758400000,8,0.00010000
1578787200000,8,0.00010000
1578816000000,8,0.00010000
1578844800000,8,0.00010000
1578873600001,8,0.00010000
1578902400000,8,0.00010000
1578931200000,8,0.00010000
1578960000000,8,0.00010000
1578988800000,8,0.00025900
1579017600001,8,0.00010000
1579046400000,8,0.00049392
1579075200000,8,0.00019497
1579104000000,8,0.00010000
1579132800000,8,0.00010000
1579161600000,8,0.00041191
1579190400000,8,0.00031466
1579219200000,8,0.00010000
1579248000000,8,0.00015027
1579276800000,8,0.00056749
1579305600001,8,0.00010000
1579334400001,8,0.00029182
1579363200000,8,0.00032081
1579392000000,8,0.00020041
1579420800000,8,0.00039329
1579449600000,8,0.00092467
1579478400000,8,0.00029702
1579507200000,8,0.00010000
1579536000000,8,0.00010782
1579564800000,8,0.00012057
1579593600000,8,0.00015425
1579622400000,8,0.00015740
1579651200000,8,0.00010000
1579680000001,8,0.00021392
1579708800000,8,0.00010000
1579737600000,8,0.00010000
1579766400000,8,0.00010000
1579795200000,8,0.00052304
1579824000000,8,0.00054719
1579852800000,8,0.00042124
1579881600001,8,0.00017948
1579910400000,8,0.00010000
1579939200000,8,0.00010000
1579968000001,8,0.00010000
1579996800000,8,0.00010000
1580025600000,8,0.00010000
1580054400000,8,0.00010000
1580083200000,8,0.00010000
1580112000001,8,0.00010000
1580140800000,8,0.00010000
1580169600000,8,0.00010000
1580198400000,8,0.00068689
1580227200000,8,0.00054394
1580256000001,8,0.00062324
1580284800000,8,0.00108193
1580313600002,8,0.00053694
1580342400000,8,0.00023600
1580371200000,8,0.00024877
1580400000000,8,0.00034852
1580428800000,8,0.00053551
1580457600000,8,0.00077154
1580486400000,8,0.00039858
