calc_time,funding_interval_hours,last_funding_rate
1735689600015,8,0.00010000
1735718400000,8,0.00010000
1735747200001,8,0.00010000
1735776000000,8,0.00010000
1735804800006,8,0.00010000
1735833600000,8,0.00010000
1735862400000,8,0.00010000
1735891200000,8,0.00010000
1735920000000,8,0.00010000
1735948800000,8,0.00010000
1735977600000,8,0.00010000
1736006400000,8,0.00010000
1736035200000,8,0.00010000
1736064000000,8,0.00010000
1736092800000,8,0.00010000
1736121600000,8,0.00010000
1736150400001,8,0.00010000
1736179200000,8,0.00010000
1736208000000,8,0.00010000
1736236800000,8,0.00010000
1736265600008,8,0.00010000
1736294400001,8,0.00009658
1736323200000,8,0.00010000
1736352000000,8,0.00010000
1736380800000,8,0.00006609
1736409600000,8,0.00010000
1736438400000,8,0.00010000
1736467200000,8,0.00007573
1736496000000,8,0.00006162
1736524800000,8,0.00010000
1736553600000,8,0.00006574
1736582400000,8,0.00005650
1736611200000,8,0.00010000
1736640000000,8,0.00010000
1736668800000,8,0.00010000
1736697600000,8,0.00008134
1736726400000,8,0.00010000
1736755200000,8,0.00009353
1736784000000,8,0.00003392
1736812800000,8,0.00005423
1736841600000,8,0.00007452
1736870400000,8,0.00007652
1736899200000,8,0.00004503
1736928000000,8,0.00005924
1736956800000,8,0.00005443
1736985600000,8,0.00010000
1737014400000,8,0.00008311
1737043200000,8,0.00005275
1737072000004,8,0.00010000
1737100800000,8,0.00010000
1737129600008,8,0.00010000
1737158400000,8,0.00010000
1737187200007,8,0.00010000
1737216000000,8,0.00010000
1737244800000,8,0.00010000
1737273600000,8,0.00010000
1737302400000,8,0.00010000
1737331200000,8,0.00010000
1737360000009,8,0.00010000
1737388800000,8,0.00010000
1737417600000,8,0.00010000
1737446400000,8,0.00010000
1737475200000,8,0.00010000
1737504000000,8,0.00010000
1737532800000,8,0.00010000
1737561600000,8,0.00010000
1737590400001,8,0.00010000
1737619200000,8,0.00010000
1737648000000,8,0.00010000
1737676800000,8,0.00010000
1737705600000,8,0.00010000
1737734400000,8,0.00010000
1737763200000,8,0.00006904
1737792000000,8,0.00007065
1737820800001,8,0.00008410
1737849600000,8,0.00009663
1737878400000,8,0.00009725
1737907200000,8,0.00003849
1737936000000,8,-0.00000276
1737964800000,8,0.00003922
1737993600000,8,0.00003069
1738022400000,8,0.00010000
1738051200000,8,0.00004046
1738080000000,8,0.00005904
1738108800000,8,0.00010000
1738137600000,8,0.00006567
1738166400000,8,0.00008686
1738195200000,8,0.00002287
1738224000000,8,0.00010000
1738252800000,8,0.00007055
1738281600000,8,0.00009386
1738310400000,8,0.00007998
1738339200000,8,0.00010000
