calc_time,funding_interval_hours,last_funding_rate
1772323200005,8,-0.00029180
1772352000000,8,0.00010000
1772380800002,8,-0.00007039
1772409600001,8,0.00010000
1772438400007,8,-0.00007306
1772467200000,8,-0.00025037
1772496000000,8,0.00003853
1772524800000,8,-0.00000805
1772553600007,8,-0.00009253
1772582400001,8,-0.00011318
1772611200005,8,0.00004586
1772640000000,8,-0.00007261
1772668800000,8,0.00010000
1772697600000,8,-0.00012796
1772726400004,8,0.00008235
1772755200001,8,0.00010000
1772784000001,8,-0.00007643
1772812800004,8,0.00010000
1772841600001,8,0.00010000
1772870400012,8,0.00000908
1772899200001,8,-0.00009201
1772928000001,8,-0.00012007
1772956800000,8,-0.00002081
1772985600002,8,-0.00051825
1773014400000,8,-0.00041414
1773043200004,8,-0.00047239
1773072000003,8,-0.00013006
1773100800012,8,-0.00013051
1773129600002,8,-0.00006402
1773158400001,8,-0.00009156
1773187200000,8,0.00010000
1773216000007,8,0.00009467
1773244800010,8,0.00008155
1773273600000,8,0.00010000
1773302400000,8,-0.00013089
1773331200000,8,-0.00013636
1773360000006,8,-0.00007413
1773388800001,8,0.00010000
1773417600000,8,0.00005006
1773446400001,8,0.00010000
1773475200000,8,0.00010000
1773504000007,8,0.00010000
1773532800000,8,0.00010000
1773561600000,8,0.00000425
1773590400000,8,0.00007910
1773619200000,8,-0.00000896
1773648000010,8,0.00010000
1773676800000,8,0.00010000
1773705600000,8,0.00010000
1773734400002,8,0.00010000
1773763200011,8,0.00010000
1773792000002,8,0.00010000
1773820800002,8,0.00003157
1773849600005,8,-0.00005685
1773878400000,8,0.00010000
1773907200003,8,0.00010000
1773936000003,8,0.00010000
1773964800002,8,0.00006926
1773993600000,8,0.00000133
1774022400000,8,0.00003283
1774051200000,8,0.00008549
1774080000000,8,0.00008884
1774108800014,8,0.00007594
1774137600012,8,0.00003626
1774166400007,8,0.00008240
1774195200002,8,0.00010000
1774224000000,8,-0.00005405
1774252800003,8,0.00004049
1774281600002,8,-0.00017435
1774310400000,8,0.00005065
1774339200000,8,0.00010000
1774368000003,8,0.00004266
1774396800000,8,0.00002961
1774425600000,8,-0.00019244
1774454400013,8,-0.00017882
1774483200001,8,0.00010000
1774512000001,8,0.00004872
1774540800000,8,0.00010000
1774569600006,8,0.00010000
1774598400000,8,0.00008857
1774627200000,8,0.00010000
1774656000005,8,0.00010000
1774684800005,8,0.00003513
1774713600000,8,-0.00007393
1774742400003,8,0.00004691
1774771200001,8,0.00010000
1774800000000,8,0.00010000
1774828800000,8,0.00010000
1774857600005,8,0.00010000
1774886400000,8,-8.7E-7
1774915200000,8,0.00010000
1774944000000,8,-0.00014302
1774972800000,8,0.00001396
