calc_time,funding_interval_hours,last_funding_rate
1578297600000,8,0.00010000
1578326400000,8,0.00487889
1578355200000,8,0.00180851
1578384000001,8,0.00075005
1578412800000,8,0.00022266
1578441600000,8,0.00010000
1578470400000,8,0.00139017
1578499200001,8,0.00065731
1578528000000,8,0.00010000
1578556800000,8,0.00010000
1578585600000,8,0.00010000
1578614400000,8,0.00010000
1578643200000,8,0.00010000
1578672000000,8,0.00010000
1578700800000,8,0.00010000
1578729600000,8,0.00010000
1578758400000,8,0.00010000
1578787200000,8,0.00010000
1578816000000,8,0.00010000
1578844800000,8,0.00010000
1578873600001,8,0.00022677
1578902400000,8,0.00010000
1578931200000,8,0.00010000
1578960000000,8,0.00023193
1578988800000,8,0.00010000
1579017600001,8,0.00058179
1579046400000,8,0.00275417
1579075200000,8,0.00181173
1579104000000,8,0.00180187
1579132800000,8,0.00109311
1579161600000,8,0.00010000
1579190400000,8,0.00010000
1579219200000,8,0.00010000
1579248000000,8,0.00010000
1579276800000,8,0.00010000
1579305600001,8,0.00010000
1579334400001,8,0.00010000
1579363200000,8,0.00033018
1579392000000,8,0.00185072
1579420800000,8,0.00164121
1579449600000,8,0.00087585
1579478400000,8,0.00049196
1579507200000,8,0.00010000
1579536000000,8,0.00010000
1579564800000,8,0.00010000
1579593600000,8,0.00010000
1579622400000,8,0.00034253
1579651200000,8,0.00017282
1579680000001,8,0.00013911
1579708800000,8,0.00010000
1579737600000,8,0.00042104
1579766400000,8,0.00029574
1579795200000,8,0.00010000
1579824000000,8,0.00010000
1579852800000,8,0.00010000
1579881600001,8,0.00010000
1579910400000,8,0.00010000
1579939200000,8,0.00010000
1579968000001,8,0.00010000
1579996800000,8,0.00010000
1580025600000,8,0.00010000
1580054400000,8,0.00010000
1580083200000,8,0.00010000
1580112000001,8,0.00010000
1580140800000,8,0.00010000
1580169600000,8,0.00010000
1580198400000,8,0.00025437
1580227200000,8,0.00029490
1580256000001,8,0.00111354
1580284800000,8,0.00108821
1580313600002,8,0.00129547
1580342400000,8,0.00104493
1580371200000,8,0.00084960
1580400000000,8,0.00094568
1580428800000,8,0.00163247
1580457600000,8,0.00139455
1580486400000,8,0.00065705
