calc_time,funding_interval_hours,last_funding_rate
1672531200000,8,0.00003809
1672560000008,8,-0.00020445
1672588800000,8,-0.00016405
1672617600000,8,-0.00035913
1672646400008,8,0.00003581
1672675200015,8,0.00001899
1672704000003,8,0.00002969
1672732800018,8,0.00010000
1672761600000,8,0.00010000
1672790400000,8,-0.00010693
1672819200016,8,-0.00000891
1672848000011,8,-0.00195869
1672876800009,8,-0.00024730
1672905600011,8,0.00003269
1672934400000,8,0.00008999
1672963200005,8,0.00010000
1672992000001,8,0.00010000
1673020800000,8,0.00010000
1673049600006,8,0.00003438
1673078400017,8,0.00010000
1673107200000,8,0.00001973
1673136000015,8,4.2E-7
1673164800000,8,0.00010000
1673193600010,8,-0.00000284
1673222400003,8,0.00010000
1673251200000,8,0.00010000
1673280000006,8,0.00010000
1673308800003,8,0.00010000
1673337600021,8,0.00010000
1673366400000,8,0.00010000
1673395200011,8,0.00010000
1673424000006,8,0.00010000
1673452800004,8,0.00010000
1673481600000,8,0.00010000
1673510400000,8,0.00010000
1673539200000,8,0.00010000
1673568000004,8,0.00010000
1673596800000,8,0.00010000
1673625600018,8,0.00010000
1673654400000,8,0.00010000
1673683200001,8,0.00064288
1673712000000,8,0.00010000
1673740800010,8,0.00015785
1673769600002,8,0.00040907
1673798400000,8,0.00016012
1673827200010,8,0.00010000
1673856000007,8,0.00030070
1673884800000,8,0.00010000
1673913600004,8,0.00010000
1673942400005,8,0.00010000
1673971200001,8,0.00010000
1674000000008,8,0.00010000
1674028800009,8,0.00010000
1674057600017,8,0.00010000
1674086400000,8,0.00010000
1674115200015,8,0.00010000
1674144000012,8,0.00010000
1674172800000,8,0.00010000
1674201600000,8,0.00010000
1674230400000,8,0.00010000
1674259200013,8,0.00010000
1674288000001,8,0.00037171
1674316800016,8,0.00010000
1674345600000,8,0.00010000
1674374400000,8,0.00010000
1674403200023,8,0.00010000
1674432000014,8,0.00010000
1674460800014,8,0.00010000
1674489600016,8,0.00010000
1674518400008,8,0.00010000
1674547200008,8,0.00010000
1674576000000,8,0.00010000
1674604800012,8,0.00010000
1674633600000,8,0.00010000
1674662400010,8,0.00010000
1674691200010,8,0.00010000
1674720000003,8,0.00010000
1674748800020,8,0.00010000
1674777600008,8,0.00010000
1674806400000,8,0.00014762
1674835200000,8,0.00010000
1674864000009,8,0.00025825
1674892800018,8,0.00028041
1674921600005,8,0.00010000
1674950400011,8,0.00010000
1674979200000,8,0.00010000
1675008000008,8,0.00010000
1675036800001,8,0.00010000
1675065600000,8,0.00010000
1675094400000,8,0.00010000
1675123200005,8,0.00010000
1675152000000,8,0.00010000
1675180800007,8,0.00010000
