calc_time,funding_interval_hours,last_funding_rate
1704067200000,8,0.00037659
1704096000000,8,0.00011795
1704124800000,8,0.00037953
1704153600000,8,0.00043990
1704182400000,8,0.00031662
1704211200000,8,0.00088784
1704240000000,8,0.00041512
1704268800000,8,0.00039434
1704297600000,8,0.00010000
1704326400000,8,0.00010000
1704355200000,8,0.00011390
1704384000000,8,0.00010000
1704412800001,8,0.00010000
1704441600000,8,0.00010000
1704470400000,8,0.00010000
1704499200000,8,0.00010000
1704528000000,8,-0.00028630
1704556800000,8,0.00010000
1704585600000,8,0.00010000
1704614400001,8,0.00010000
1704643200001,8,-0.00010134
1704672000000,8,-0.00019357
1704700800000,8,1E-8
1704729600000,8,-0.00001191
1704758400001,8,0.00005426
1704787200000,8,0.00010000
1704816000000,8,-0.00041311
1704844800000,8,-0.00016813
1704873600000,8,0.00003292
1704902400000,8,-0.00000160
1704931200000,8,0.00007431
1704960000000,8,0.00010000
1704988800000,8,0.00010000
1705017600001,8,0.00010000
1705046400000,8,0.00010000
1705075200000,8,0.00010000
1705104000000,8,0.00010000
1705132800000,8,0.00010000
1705161600001,8,0.00010000
1705190400000,8,0.00010000
1705219200000,8,0.00010000
1705248000001,8,0.00010000
1705276800000,8,0.00010000
1705305600000,8,0.00010000
1705334400000,8,0.00010000
1705363200000,8,0.00010000
1705392000000,8,0.00010000
1705420800001,8,0.00010000
1705449600000,8,0.00010000
1705478400000,8,-0.00000110
1705507200000,8,0.00010000
1705536000001,8,0.00004619
1705564800000,8,0.00010000
1705593600000,8,0.00010000
1705622400000,8,-0.00000993
1705651200000,8,0.00004392
1705680000002,8,0.00001016
1705708800000,8,0.00010000
1705737600003,8,0.00010000
1705766400000,8,0.00007198
1705795200000,8,0.00010000
1705824000000,8,0.00010000
1705852800000,8,0.00010000
1705881600000,8,-0.00012385
1705910400000,8,0.00009009
1705939200000,8,-0.00022703
1705968000000,8,0.00009246
1705996800000,8,0.00010000
1706025600000,8,-0.00007570
1706054400000,8,0.00002886
1706083200000,8,0.00010000
1706112000000,8,0.00010000
1706140800000,8,0.00010000
1706169600001,8,0.00010000
1706198400000,8,0.00010000
1706227200001,8,0.00010000
1706256000000,8,0.00010000
1706284800000,8,0.00010000
1706313600000,8,0.00006233
1706342400000,8,0.00010000
1706371200000,8,0.00004829
1706400000000,8,0.00000722
1706428800000,8,0.00010000
1706457600000,8,-0.00021418
1706486400000,8,0.00001861
1706515200001,8,0.00010000
1706544000000,8,0.00010000
1706572800000,8,0.00000752
1706601600000,8,-0.00003832
1706630400001,8,-0.00032775
1706659200000,8,0.00004750
1706688000000,8,0.00010000
1706716800000,8,0.00001516
