calc_time,funding_interval_hours,last_funding_rate
1735689600015,8,0.00010000
1735718400000,8,0.00010000
1735747200001,8,0.00010000
1735776000000,8,0.00010000
1735804800006,8,0.00010000
1735833600000,8,0.00010000
1735862400000,8,0.00010000
1735891200000,8,0.00010000
1735920000000,8,0.00010000
1735948800000,8,0.00010000
1735977600000,8,0.00010000
1736006400000,8,0.00010000
1736035200000,8,0.00010000
1736064000000,8,0.00010000
1736092800000,8,0.00010000
1736121600000,8,0.00010000
1736150400001,8,0.00010000
1736179200000,8,0.00010000
1736208000000,8,0.00010000
1736236800000,8,0.00010000
1736265600008,8,0.00010000
1736294400001,8,0.00010000
1736323200000,8,0.00010000
1736352000000,8,0.00010000
1736380800000,8,0.00010000
1736409600000,8,0.00002925
1736438400000,8,0.00009259
1736467200000,8,0.00008043
1736496000000,8,0.00004328
1736524800000,8,0.00010000
1736553600000,8,0.00010000
1736582400000,8,0.00010000
1736611200000,8,0.00010000
1736640000000,8,0.00010000
1736668800000,8,0.00010000
1736697600000,8,0.00010000
1736726400000,8,0.00010000
1736755200000,8,0.00002259
1736784000000,8,0.00010000
1736812800000,8,0.00010000
1736841600000,8,0.00010000
1736870400000,8,0.00010000
1736899200000,8,0.00010000
1736928000000,8,0.00010000
1736956800000,8,0.00010000
1736985600000,8,0.00010000
1737014400000,8,0.00010000
1737043200000,8,0.00010000
1737072000004,8,0.00010000
1737100800000,8,0.00010000
1737129600008,8,0.00010000
1737158400000,8,0.00010000
1737187200007,8,0.00010000
1737216000000,8,0.00010000
1737244800000,8,0.00010000
1737273600000,8,0.00010000
1737302400000,8,0.00010000
1737331200000,8,0.00010000
1737360000009,8,0.00010000
1737388800000,8,0.00010000
1737417600000,8,0.00010000
1737446400000,8,0.00010000
1737475200000,8,-0.00002620
1737504000000,8,0.00010000
1737532800000,8,0.00002222
1737561600000,8,0.00010000
1737590400001,8,0.00010000
1737619200000,8,0.00010000
1737648000000,8,0.00010000
1737676800000,8,0.00010000
1737705600000,8,0.00010000
1737734400000,8,0.00010000
1737763200000,8,0.00010000
1737792000000,8,0.00010000
1737820800001,8,0.00010000
1737849600000,8,0.00010000
1737878400000,8,0.00010000
1737907200000,8,0.00010000
1737936000000,8,0.00010000
1737964800000,8,0.00010000
1737993600000,8,0.00010000
1738022400000,8,0.00010000
1738051200000,8,0.00010000
1738080000000,8,0.00010000
1738108800000,8,0.00010000
1738137600000,8,0.00010000
1738166400000,8,0.00010000
1738195200000,8,0.00010000
1738224000000,8,0.00010000
1738252800000,8,0.00010000
1738281600000,8,0.00010000
1738310400000,8,0.00010000
1738339200000,8,0.00010000
