calc_time,funding_interval_hours,last_funding_rate
1719792000000,8,0.00008662
1719820800000,8,0.00010000
1719849600001,8,0.00010000
1719878400000,8,0.00010000
1719907200000,8,0.00010000
1719936000000,8,0.00010000
1719964800000,8,0.00010000
1719993600001,8,0.00010000
1720022400000,8,0.00010000
1720051200000,8,0.00010000
1720080000000,8,0.00010000
1720108800000,8,0.00010000
1720137600000,8,0.00010000
1720166400000,8,0.00001430
1720195200000,8,0.00010000
1720224000000,8,0.00010000
1720252800000,8,0.00010000
1720281600000,8,0.00010000
1720310400001,8,0.00007724
1720339200000,8,0.00010000
1720368000000,8,0.00005102
1720396800000,8,0.00002181
1720425600000,8,-0.00003492
1720454400000,8,0.00001962
1720483200000,8,0.00004555
1720512000001,8,0.00010000
1720540800000,8,0.00010000
1720569600000,8,0.00008524
1720598400000,8,0.00001530
1720627200000,8,0.00010000
1720656000002,8,0.00008191
1720684800002,8,-0.00006015
1720713600004,8,0.00010000
1720742400000,8,0.00008880
1720771200000,8,0.00010000
1720800000000,8,0.00010000
1720828800000,8,0.00000601
1720857600000,8,0.00010000
1720886400000,8,-0.00008079
1720915200000,8,-0.00009459
1720944000000,8,-0.00002446
1720972800000,8,0.00010000
1721001600000,8,0.00010000
1721030400000,8,0.00010000
1721059200000,8,0.00010000
1721088000000,8,0.00005378
1721116800000,8,0.00010000
1721145600000,8,0.00010000
1721174400000,8,0.00001377
1721203200001,8,0.00010000
1721232000000,8,0.00010000
1721260800000,8,0.00001143
1721289600000,8,0.00001695
1721318400000,8,0.00010000
1721347200000,8,0.00007636
1721376000000,8,0.00010000
1721404800000,8,0.00010000
1721433600001,8,0.00008078
1721462400000,8,0.00010000
1721491200000,8,0.00010000
1721520000000,8,0.00010000
1721548800000,8,0.00010000
1721577600000,8,0.00008493
1721606400000,8,0.00009708
1721635200000,8,-0.00012601
1721664000000,8,0.00010000
1721692800000,8,0.00010000
1721721600000,8,0.00010000
1721750400000,8,0.00010000
1721779200000,8,0.00010000
1721808000000,8,0.00002877
1721836800000,8,0.00010000
1721865600000,8,0.00010000
1721894400000,8,-0.00002731
1721923200000,8,0.00000394
1721952000000,8,0.00003665
1721980800000,8,0.00005502
1722009600000,8,0.00008335
1722038400000,8,-0.00011896
1722067200000,8,0.00010000
1722096000000,8,0.00010000
1722124800000,8,0.00010000
1722153600000,8,0.00010000
1722182400001,8,0.00010000
1722211200001,8,0.00010000
1722240000000,8,0.00010000
1722268800001,8,0.00010000
1722297600000,8,0.00010000
1722326400001,8,0.00010000
1722355200000,8,0.00010000
1722384000000,8,0.00010000
1722412800000,8,0.00005043
1722441600000,8,0.00010000
