calc_time,funding_interval_hours,last_funding_rate
1701388800000,8,0.00010000
1701417600000,8,0.00012700
1701446400000,8,0.00014740
1701475200000,8,0.00014449
1701504000000,8,0.00010000
1701532800000,8,0.00014996
1701561600000,8,0.00023552
1701590400000,8,0.00017857
1701619200000,8,0.00020033
1701648000000,8,0.00029259
1701676800000,8,0.00042694
1701705600000,8,0.00026499
1701734400000,8,0.00030184
1701763200000,8,0.00010652
1701792000000,8,0.00010000
1701820800000,8,0.00024067
1701849600000,8,0.00010000
1701878400000,8,0.00010000
1701907200000,8,0.00010000
1701936000000,8,0.00020833
1701964800000,8,0.00036278
1701993600000,8,0.00034647
1702022400000,8,0.00034215
1702051200000,8,0.00010000
1702080000000,8,0.00010000
1702108800000,8,0.00010000
1702137600000,8,0.00028493
1702166400000,8,0.00023615
1702195200000,8,0.00017163
1702224000000,8,0.00039890
1702252800000,8,0.00029031
1702281600000,8,0.00010000
1702310400000,8,0.00010000
1702339200000,8,0.00010000
1702368000000,8,0.00014688
1702396800000,8,0.00010000
1702425600000,8,0.00010711
1702454400000,8,0.00010000
1702483200001,8,0.00010000
1702512000000,8,0.00010000
1702540800000,8,0.00010000
1702569600000,8,0.00010000
1702598400000,8,0.00010000
1702627200000,8,0.00029476
1702656000000,8,0.00031563
1702684800000,8,0.00010771
1702713600000,8,0.00010000
1702742400001,8,0.00010000
1702771200000,8,0.00010000
1702800000000,8,0.00020792
1702828800000,8,0.00031362
1702857600000,8,0.00010000
1702886400001,8,0.00010000
1702915200000,8,0.00010000
1702944000000,8,0.00010000
1702972800000,8,0.00010000
1703001600000,8,0.00010000
1703030400000,8,0.00010000
1703059200000,8,0.00010000
1703088000000,8,0.00010000
1703116800000,8,0.00015488
1703145600000,8,0.00019426
1703174400000,8,0.00010000
1703203200000,8,0.00010000
1703232000000,8,0.00010000
1703260800000,8,0.00010000
1703289600000,8,0.00010000
1703318400001,8,0.00010000
1703347200000,8,0.00016125
1703376000000,8,0.00015781
1703404800000,8,0.00010000
1703433600000,8,0.00010000
1703462400000,8,0.00010000
1703491200000,8,0.00014527
1703520000000,8,0.00012898
1703548800000,8,0.00021419
1703577600000,8,0.00010000
1703606400000,8,0.00029426
1703635200000,8,0.00010000
1703664000000,8,0.00014472
1703692800000,8,0.00030650
1703721600000,8,0.00010000
1703750400000,8,0.00034632
1703779200000,8,0.00050021
1703808000001,8,0.00052599
1703836800000,8,0.00047099
1703865600000,8,0.00055903
1703894400001,8,0.00046895
1703923200000,8,0.00030857
1703952000000,8,0.00046258
1703980800000,8,0.00036184
1704009600001,8,0.00052162
1704038400000,8,0.00028497
