calc_time,funding_interval_hours,last_funding_rate
1730419200000,8,0.00010000
1730448000000,8,0.00010000
1730476800000,8,0.00010000
1730505600000,8,0.00010000
1730534400000,8,0.00010000
1730563200000,8,0.00010000
1730592000000,8,0.00010000
1730620800000,8,0.00010000
1730649600000,8,-0.00000436
1730678400000,8,-0.00002484
1730707200000,8,-0.00005579
1730736000000,8,0.00008229
1730764800000,8,0.00010000
1730793600003,8,0.00003426
1730822400001,8,0.00005441
1730851200000,8,0.00010000
1730880000000,8,0.00010000
1730908800000,8,0.00010000
1730937600000,8,0.00010000
1730966400000,8,0.00010950
1730995200000,8,0.00010000
1731024000000,8,0.00010000
1731052800000,8,0.00010000
1731081600000,8,0.00010000
1731110400000,8,0.00010000
1731139200000,8,0.00010000
1731168000000,8,0.00010000
1731196800000,8,0.00010352
1731225600000,8,0.00029568
1731254400000,8,0.00029686
1731283200001,8,0.00022899
1731312000000,8,0.00028376
1731340800000,8,0.00010000
1731369600002,8,0.00026529
1731398400000,8,0.00045762
1731427200000,8,0.00049062
1731456000000,8,0.00032619
1731484800010,8,0.00010000
1731513600000,8,0.00021917
1731542400001,8,0.00015103
1731571200000,8,0.00015786
1731600000000,8,0.00010000
1731628800000,8,0.00010000
1731657600000,8,0.00010000
1731686400000,8,0.00010000
1731715200001,8,0.00010000
1731744000001,8,0.00010000
1731772800000,8,0.00023330
1731801600000,8,0.00012286
1731830400000,8,0.00010000
1731859200001,8,0.00010000
1731888000000,8,0.00010000
1731916800000,8,0.00034783
1731945600000,8,0.00018817
1731974400000,8,0.00010000
1732003200000,8,0.00010000
1732032000000,8,0.00010000
1732060800003,8,0.00010000
1732089600000,8,0.00010000
1732118400000,8,0.00010000
1732147200001,8,0.00010000
1732176000000,8,0.00010000
1732204800001,8,0.00010000
1732233600000,8,0.00014523
1732262400000,8,0.00023609
1732291200001,8,0.00024191
1732320000000,8,0.00010000
1732348800000,8,0.00033690
1732377600000,8,0.00026805
1732406400001,8,0.00036364
1732435200000,8,0.00038276
1732464000000,8,0.00033635
1732492800000,8,0.00028407
1732521600000,8,0.00030576
1732550400000,8,0.00019422
1732579200000,8,0.00026291
1732608000000,8,0.00022036
1732636800000,8,0.00010024
1732665600000,8,0.00014914
1732694400000,8,0.00019811
1732723200001,8,0.00010000
1732752000000,8,0.00022651
1732780800000,8,0.00017652
1732809600000,8,0.00014173
1732838400000,8,0.00020893
1732867200000,8,0.00016721
1732896000000,8,0.00035023
1732924800000,8,0.00028521
1732953600000,8,0.00025135
1732982400000,8,0.00021711
