calc_time,funding_interval_hours,last_funding_rate
1709251200000,8,0.00022580
1709280000000,8,0.00056193
1709308800000,8,0.00029595
1709337600000,8,0.00045091
1709366400001,8,0.00060239
1709395200000,8,0.00060028
1709424000000,8,0.00062465
1709452800000,8,0.00056194
1709481600000,8,0.00059759
1709510400000,8,0.00052271
1709539200000,8,0.00066328
1709568000000,8,0.00048318
1709596800000,8,0.00045848
1709625600000,8,0.00100171
1709654400000,8,0.00068298
1709683200000,8,0E-8
1709712000001,8,0.00021672
1709740800000,8,0.00003112
1709769600000,8,0E-8
1709798400000,8,0.00017842
1709827200000,8,0.00001547
1709856000000,8,0E-8
1709884800000,8,0E-8
1709913600000,8,-0.00001113
1709942400000,8,-0.00012383
1709971200001,8,-0.00019497
1710000000000,8,-0.00023847
1710028800000,8,-0.00006201
1710057600000,8,0E-8
1710086400000,8,0.00036256
1710115200000,8,0E-8
1710144000000,8,0.00002344
1710172800000,8,0.00007373
1710201600000,8,0.00019661
1710230400000,8,0.00055550
1710259200000,8,0.00006989
1710288000000,8,0.00034905
1710316800001,8,0.00064319
1710345600000,8,0.00067750
1710374400001,8,0.00035646
1710403200000,8,0.00044008
1710432000000,8,0.00060290
1710460800000,8,0.00011662
1710489600000,8,0.00012984
1710518400000,8,0E-8
1710547200000,8,0.00013785
1710576000000,8,0.00024537
1710604800000,8,0.00016812
1710633600000,8,0.00009557
1710662400000,8,0E-8
1710691200000,8,0E-8
1710720000000,8,0E-8
1710748800000,8,0.00015708
1710777600001,8,0E-8
1710806400000,8,0.00010433
1710835200000,8,0.00019074
1710864000001,8,0.00023778
1710892800000,8,0.00021487
1710921600004,8,0.00022256
1710950400000,8,0.00009585
1710979200000,8,0.00002546
1711008000000,8,0.00013122
1711036800000,8,0E-8
1711065600000,8,0.00017388
1711094400000,8,0.00006837
1711123200000,8,0.00014159
1711152000000,8,0.00014453
1711180800000,8,0.00016838
1711209600000,8,0E-8
1711238400000,8,0E-8
1711267200000,8,0.00021139
1711296000000,8,0.00020733
1711324800000,8,0.00021885
1711353600001,8,0.00024982
1711382400000,8,0.00025865
1711411200000,8,0.00029097
1711440000000,8,0.00037308
1711468800000,8,0.00039806
1711497600000,8,0.00031573
1711526400001,8,0.00036491
1711555200000,8,0.00033014
1711584000000,8,0.00042862
1711612800000,8,0.00051984
1711641600000,8,0.00039289
1711670400000,8,0.00036592
1711699200000,8,0.00041300
1711728000000,8,0.00025390
1711756800000,8,0E-8
1711785600000,8,-0.00007709
1711814400000,8,-0.00037404
1711843200000,8,-0.00005921
1711872000000,8,-0.00039080
1711900800001,8,0E-8
