calc_time,funding_interval_hours,last_funding_rate
1754006400001,8,-0.00001227
1754035200003,8,-0.00001217
1754064000000,8,0.00004437
1754092800004,8,0.00007754
1754121600000,8,0.00010000
1754150400000,8,0.00010000
1754179200000,8,0.00009945
1754208000000,8,0.00002567
1754236800003,8,0.00006324
1754265600004,8,0.00004434
1754294400000,8,0.00010000
1754323200002,8,0.00010000
1754352000000,8,0.00010000
1754380800000,8,0.00010000
1754409600000,8,0.00010000
1754438400005,8,0.00010000
1754467200000,8,0.00010000
1754496000000,8,0.00005970
1754524800003,8,0.00010000
1754553600002,8,0.00003438
1754582400002,8,0.00010000
1754611200002,8,0.00010000
1754640000004,8,0.00007322
1754668800000,8,0.00010000
1754697600005,8,0.00010000
1754726400000,8,0.00010000
1754755200007,8,0.00005359
1754784000003,8,0.00008285
1754812800005,8,0.00005105
1754841600002,8,0.00010000
1754870400000,8,0.00010000
1754899200000,8,0.00010000
1754928000000,8,0.00010000
1754956800000,8,0.00005838
1754985600001,8,0.00003741
1755014400005,8,0.00005934
1755043200000,8,0.00010000
1755072000002,8,0.00010000
1755100800006,8,0.00010000
1755129600002,8,0.00010000
1755158400003,8,0.00010000
1755187200000,8,0.00010000
1755216000000,8,0.00005011
1755244800000,8,0.00002015
1755273600000,8,0.00010000
1755302400004,8,0.00001621
1755331200000,8,0.00010000
1755360000002,8,0.00002619
1755388800000,8,-0.00003217
1755417600001,8,0.00004978
1755446400007,8,0.00008001
1755475200000,8,0.00010000
1755504000001,8,0.00004124
1755532800002,8,0.00000122
1755561600000,8,0.00004697
1755590400001,8,0.00008886
1755619200000,8,0.00005103
1755648000000,8,0.00010000
1755676800000,8,0.00000965
1755705600000,8,0.00001226
1755734400006,8,0.00006044
1755763200000,8,0.00009032
1755792000003,8,0.00003507
1755820800010,8,0.00006932
1755849600007,8,0.00004249
1755878400001,8,0.00005833
1755907200004,8,0.00010000
1755936000006,8,0.00010000
1755964800000,8,0.00010000
1755993600001,8,0.00010000
1756022400002,8,0.00010000
1756051200001,8,0.00010000
1756080000000,8,0.00010000
1756108800002,8,0.00010000
1756137600002,8,-0.00004595
1756166400000,8,-0.00006408
1756195200000,8,-0.00002649
1756224000000,8,0.00006431
1756252800003,8,0.00010000
1756281600000,8,0.00010000
1756310400009,8,0.00007026
1756339200000,8,0.00010000
1756368000005,8,0.00010000
1756396800004,8,0.00003266
1756425600000,8,0.00008433
1756454400000,8,0.00010000
1756483200005,8,0.00001720
1756512000000,8,0.00009096
1756540800002,8,0.00010000
1756569600003,8,0.00010000
1756598400016,8,0.00005213
1756627200000,8,0.00008606
1756656000001,8,0.00009647
