calc_time,funding_interval_hours,last_funding_rate
1688169600000,8,0.00009190
1688198400000,8,0.00010000
1688227200000,8,0.00010000
1688256000000,8,0.00010000
1688284800000,8,0.00010000
1688313600001,8,0.00010000
1688342400000,8,0.00010000
1688371200000,8,0.00010000
1688400000000,8,0.00010000
1688428800001,8,0.00010000
1688457600000,8,0.00010000
1688486400000,8,0.00010000
1688515200000,8,0.00010000
1688544000000,8,0.00010000
1688572800000,8,-0.00006686
1688601600000,8,-0.00010215
1688630400000,8,0.00002289
1688659200000,8,-0.00005135
1688688000000,8,-0.00003705
1688716800000,8,0.00005839
1688745600000,8,-0.00004697
1688774400000,8,-0.00008078
1688803200000,8,-0.00002672
1688832000000,8,0.00002148
1688860800000,8,-0.00005484
1688889600000,8,0.00001768
1688918400000,8,0.00000983
1688947200000,8,0.00000872
1688976000000,8,-0.00004751
1689004800000,8,0.00010000
1689033600000,8,0.00010000
1689062400000,8,0.00010000
1689091200000,8,0.00006298
1689120000000,8,0.00001013
1689148800000,8,0.00010000
1689177600000,8,0.00010000
1689206400000,8,-0.00013033
1689235200000,8,0.00010000
1689264000000,8,0.00010000
1689292800000,8,0.00010000
1689321600000,8,0.00010000
1689350400000,8,0.00010000
1689379200000,8,0.00010000
1689408000000,8,0.00010000
1689436800000,8,0.00010000
1689465600001,8,0.00010000
1689494400000,8,0.00010000
1689523200000,8,0.00010000
1689552000000,8,0.00001500
1689580800000,8,0.00010000
1689609600000,8,0.00010000
1689638400000,8,0.00010000
1689667200000,8,0.00010000
1689696000000,8,0.00010000
1689724800000,8,0.00010000
1689753600000,8,0.00010000
1689782400001,8,0.00010000
1689811200000,8,0.00010000
1689840000000,8,0.00010000
1689868800000,8,0.00010000
1689897600001,8,0.00003175
1689926400000,8,0.00010000
1689955200000,8,0.00010000
1689984000000,8,0.00005417
1690012800000,8,0.00007690
1690041600000,8,0.00010000
1690070400000,8,0.00010000
1690099200000,8,0.00010000
1690128000000,8,0.00010000
1690156800000,8,0.00010000
1690185600000,8,0.00010000
1690214400000,8,0.00007991
1690243200000,8,0.00002033
1690272000000,8,0.00000532
1690300800000,8,0.00005709
1690329600000,8,0.00005723
1690358400001,8,0.00009264
1690387200000,8,0.00004067
1690416000000,8,0.00009257
1690444800000,8,0.00009476
1690473600001,8,0.00010000
1690502400000,8,0.00004231
1690531200000,8,0.00010000
1690560000000,8,0.00006354
1690588800000,8,0.00010000
1690617600000,8,0.00003675
1690646400001,8,0.00010000
1690675200000,8,0.00010000
1690704000000,8,0.00010000
1690732800000,8,0.00010000
1690761600000,8,-0.00003474
1690790400000,8,0.00010000
1690819200001,8,0.00002927
