calc_time,funding_interval_hours,last_funding_rate
1609459200002,8,0.00010000
1609488000006,8,0.00010000
1609516800003,8,0.00018518
1609545600000,8,0.00010000
1609574400000,8,0.00010000
1609603200006,8,0.00010000
1609632000018,8,0.00015041
1609660800000,8,0.00019995
1609689600002,8,0.00089127
1609718400000,8,0.00148270
1609747200000,8,0.00172614
1609776000000,8,0.00026192
1609804800020,8,0.00034772
1609833600003,8,0.00010000
1609862400003,8,0.00036075
1609891200010,8,0.00067600
1609920000003,8,0.00112414
1609948800000,8,0.00182889
1609977600007,8,0.00085622
1610006400000,8,0.00181593
1610035200004,8,0.00198008
1610064000000,8,0.00108631
1610092800000,8,0.00013741
1610121600000,8,0.00090406
1610150400009,8,0.00033942
1610179200004,8,0.00050221
1610208000000,8,0.00099740
1610236800000,8,0.00175613
1610265600005,8,0.00140058
1610294400000,8,0.00041719
1610323200000,8,0.00054375
1610352000012,8,0.00014654
1610380800000,8,0.00034882
1610409600000,8,0.00010000
1610438400000,8,0.00018050
1610467200008,8,0.00019658
1610496000001,8,0.00010000
1610524800000,8,0.00046092
1610553600003,8,0.00075260
1610582400000,8,0.00052844
1610611200012,8,0.00045470
1610640000000,8,0.00081909
1610668800002,8,0.00022823
1610697600000,8,0.00086241
1610726400004,8,0.00067452
1610755200000,8,0.00010000
1610784000008,8,0.00010000
1610812800000,8,0.00048305
1610841600009,8,0.00046329
1610870400000,8,0.00033567
1610899200001,8,0.00036455
1610928000000,8,0.00067021
1610956800004,8,0.00042322
1610985600000,8,0.00093944
1611014400000,8,0.00057991
1611043200005,8,0.00178292
1611072000012,8,0.00149686
1611100800012,8,0.00068023
1611129600001,8,0.00023018
1611158400001,8,0.00010000
1611187200000,8,0.00015443
1611216000000,8,0.00033097
1611244800004,8,0.00010000
1611273600012,8,0.00010000
1611302400003,8,0.00010000
1611331200001,8,0.00010000
1611360000000,8,0.00010000
1611388800002,8,0.00014071
1611417600000,8,0.00014697
1611446400001,8,0.00019458
1611475200011,8,0.00025855
1611504000005,8,0.00052695
1611532800007,8,0.00024322
1611561600012,8,0.00063910
1611590400000,8,0.00050651
1611619200007,8,0.00022456
1611648000000,8,0.00010000
1611676800000,8,0.00010000
1611705600000,8,0.00016281
1611734400011,8,0.00025891
1611763200003,8,0.00010000
1611792000000,8,0.00010000
1611820800000,8,0.00010000
1611849600000,8,0.00034095
1611878400009,8,0.00034371
1611907200000,8,0.00044468
1611936000000,8,0.00132261
1611964800000,8,0.00042872
1611993600000,8,0.00024349
1612022400000,8,0.00068421
1612051200009,8,0.00078921
1612080000000,8,0.00074048
1612108800000,8,0.00062819
