calc_time,funding_interval_hours,last_funding_rate
1730419200000,8,0.00010000
1730448000000,8,0.00010000
1730476800000,8,0.00010000
1730505600000,8,0.00010000
1730534400000,8,0.00010000
1730563200000,8,-0.00006326
1730592000000,8,-0.00002665
1730620800000,8,-0.00013578
1730649600000,8,0.00010000
1730678400000,8,0.00001852
1730707200000,8,0.00010000
1730736000000,8,0.00010000
1730764800000,8,0.00010000
1730793600003,8,0.00010000
1730822400001,8,0.00010000
1730851200000,8,0.00010000
1730880000000,8,0.00010000
1730908800000,8,0.00010000
1730937600000,8,0.00010000
1730966400000,8,0.00010000
1730995200000,8,0.00010000
1731024000000,8,0.00010000
1731052800000,8,0.00010000
1731081600000,8,0.00010000
1731110400000,8,0.00010000
1731139200000,8,0.00010000
1731168000000,8,0.00010000
1731196800000,8,0.00010000
1731225600000,8,0.00010000
1731254400000,8,0.00010000
1731283200001,8,0.00010000
1731312000000,8,0.00010000
1731340800000,8,0.00010000
1731369600002,8,0.00010000
1731398400000,8,0.00031239
1731427200000,8,0.00010000
1731456000000,8,0.00010000
1731484800010,8,0.00010000
1731513600000,8,0.00010000
1731542400001,8,0.00010000
1731571200000,8,0.00010000
1731600000000,8,0.00010000
1731628800000,8,0.00010000
1731657600000,8,-0.00003259
1731686400000,8,-0.00029704
1731715200001,8,-0.00016799
1731744000001,8,-0.00037323
1731772800000,8,0.00010000
1731801600000,8,-0.00007213
1731830400000,8,-0.00002792
1731859200001,8,0.00010000
1731888000000,8,0.00010000
1731916800000,8,0.00010000
1731945600000,8,0.00010000
1731974400000,8,-0.00012258
1732003200000,8,-0.00011028
1732032000000,8,0.00010000
1732060800003,8,0.00010000
1732089600000,8,0.00010000
1732118400000,8,0.00010000
1732147200001,8,0.00010000
1732176000000,8,0.00002870
1732204800001,8,0.00007615
1732233600000,8,0.00009240
1732262400000,8,0.00010000
1732291200001,8,0.00010000
1732320000000,8,0.00010000
1732348800000,8,0.00010000
1732377600000,8,0.00010000
1732406400001,8,0.00010000
1732435200000,8,0.00010000
1732464000000,8,0.00019678
1732492800000,8,0.00010000
1732521600000,8,0.00010000
1732550400000,8,0.00010000
1732579200000,8,0.00023037
1732608000000,8,0.00018952
1732636800000,8,0.00010271
1732665600000,8,0.00010000
1732694400000,8,0.00010901
1732723200001,8,0.00010000
1732752000000,8,0.00023578
1732780800000,8,0.00015185
1732809600000,8,0.00013933
1732838400000,8,0.00030045
1732867200000,8,0.00017335
1732896000000,8,0.00017923
1732924800000,8,0.00029995
1732953600000,8,0.00027767
1732982400000,8,0.00010000
