calc_time,funding_interval_hours,last_funding_rate
1635724800009,8,0.00010000
1635753600014,8,0.00010000
1635782400001,8,0.00033515
1635811200000,8,0.00010805
1635840000007,8,0.00050474
1635868800010,8,0.00050595
1635897600019,8,0.00047294
1635926400000,8,0.00041620
1635955200005,8,0.00010000
1635984000006,8,0.00016629
1636012800004,8,0.00062925
1636041600004,8,0.00031988
1636070400000,8,0.00020132
1636099200013,8,0.00016935
1636128000016,8,0.00010000
1636156800010,8,0.00010000
1636185600000,8,0.00010000
1636214400007,8,0.00010000
1636243200013,8,0.00010000
1636272000005,8,0.00010000
1636300800004,8,0.00010000
1636329600001,8,0.00010000
1636358400000,8,0.00029747
1636387200000,8,0.00068963
1636416000000,8,0.00040908
1636444800014,8,0.00088992
1636473600001,8,0.00033898
1636502400000,8,0.00043673
1636531200003,8,0.00021984
1636560000001,8,0.00068930
1636588800008,8,0.00010000
1636617600012,8,0.00010000
1636646400007,8,0.00010000
1636675200000,8,0.00010000
1636704000000,8,0.00010000
1636732800004,8,0.00010000
1636761600000,8,0.00010000
1636790400004,8,0.00010000
1636819200006,8,0.00010000
1636848000010,8,0.00010000
1636876800001,8,0.00010000
1636905600000,8,0.00010000
1636934400008,8,0.00021840
1636963200000,8,0.00035798
1636992000000,8,0.00027615
1637020800000,8,0.00013741
1637049600001,8,0.00010000
1637078400018,8,0.00010000
1637107200005,8,0.00010000
1637136000007,8,0.00010000
1637164800003,8,0.00010000
1637193600017,8,0.00010000
1637222400007,8,0.00010000
1637251200011,8,0.00010000
1637280000000,8,0.00010000
1637308800000,8,0.00010000
1637337600005,8,0.00010000
1637366400012,8,0.00010000
1637395200000,8,0.00010000
1637424000007,8,0.00010000
1637452800000,8,0.00010000
1637481600006,8,0.00010000
1637510400000,8,0.00010000
1637539200004,8,0.00010000
1637568000000,8,0.00010000
1637596800000,8,0.00010000
1637625600004,8,0.00010000
1637654400010,8,0.00010000
1637683200005,8,0.00010000
1637712000001,8,0.00010000
1637740800003,8,0.00010000
1637769600010,8,0.00010000
1637798400000,8,0.00010000
1637827200010,8,0.00040492
1637856000000,8,0.00021796
1637884800000,8,0.00033248
1637913600000,8,0.00030619
1637942400016,8,0.00010000
1637971200005,8,0.00010000
1638000000008,8,0.00010000
1638028800007,8,0.00010000
1638057600018,8,0.00010000
1638086400000,8,0.00010000
1638115200004,8,0.00010000
1638144000002,8,0.00010000
1638172800004,8,0.00010000
1638201600000,8,0.00010000
1638230400000,8,0.00010000
1638259200006,8,0.00010000
1638288000000,8,0.00010000
