calc_time,funding_interval_hours,last_funding_rate
1654041600000,8,0.00010000
1654070400011,8,0.00010000
1654099200000,8,0.00010000
1654128000000,8,-0.00001452
1654156800006,8,0.00002265
1654185600021,8,0.00002107
1654214400016,8,-0.00003378
1654243200016,8,-0.00001456
1654272000012,8,0.00006937
1654300800005,8,0.00000270
1654329600000,8,0.00004795
1654358400007,8,0.00005506
1654387200005,8,0.00004358
1654416000015,8,0.00002828
1654444800000,8,0.00004753
1654473600000,8,0.00006036
1654502400017,8,0.00009656
1654531200000,8,0.00010000
1654560000000,8,0.00010000
1654588800011,8,-0.00010234
1654617600000,8,-0.00003705
1654646400008,8,0.00010000
1654675200020,8,0.00010000
1654704000012,8,0.00010000
1654732800000,8,0.00010000
1654761600000,8,0.00009106
1654790400000,8,0.00010000
1654819200009,8,0.00010000
1654848000000,8,0.00009289
1654876800006,8,0.00003503
1654905600018,8,0.00001762
1654934400014,8,0.00000379
1654963200000,8,0.00006606
1654992000015,8,0.00010000
1655020800019,8,0.00000563
1655049600010,8,0.00000439
1655078400009,8,0.00005616
1655107200000,8,-0.00003182
1655136000007,8,-0.00000580
1655164800013,8,0.00004088
1655193600008,8,-0.00010037
1655222400006,8,-0.00005186
1655251200000,8,-0.00002077
1655280000016,8,-0.00007240
1655308800008,8,-0.00000666
1655337600009,8,-0.00004114
1655366400016,8,0.00004475
1655395200000,8,-0.00005277
1655424000008,8,-0.00002222
1655452800003,8,-0.00009486
1655481600000,8,0.00005092
1655510400020,8,0.00007356
1655539200025,8,0.00004575
1655568000014,8,0.00005227
1655596800012,8,0.00004243
1655625600012,8,-0.00004559
1655654400008,8,0.00007239
1655683200016,8,0.00000873
1655712000000,8,-0.00000540
1655740800013,8,0.00006080
1655769600012,8,0.00010000
1655798400018,8,0.00004967
1655827200010,8,0.00002028
1655856000000,8,0.00000178
1655884800001,8,-0.00002982
1655913600012,8,-0.00001640
1655942400000,8,-0.00000872
1655971200000,8,-0.00001577
1656000000016,8,-0.00002656
1656028800005,8,0.00006006
1656057600004,8,0.00010000
1656086400018,8,0.00010000
1656115200001,8,0.00002621
1656144000010,8,0.00010000
1656172800000,8,0.00010000
1656201600002,8,0.00010000
1656230400016,8,0.00010000
1656259200006,8,0.00000669
1656288000008,8,0.00007820
1656316800000,8,0.00003533
1656345600016,8,0.00006102
1656374400016,8,-0.00002586
1656403200001,8,-0.00005613
1656432000005,8,0.00002435
1656460800000,8,0.00004188
1656489600013,8,0.00008335
1656518400000,8,0.00005319
1656547200000,8,0.00000324
1656576000000,8,-0.00005159
1656604800000,8,-0.00015879
